date,first,peak_load(MW),second,third
20170102,26035,24483,1552,6.34
20170103,29152,28131,1021,3.63
20170104,29757,28485,1272,4.47
20170105,30065,28336,1729,6.1
20170106,29154,28002,1152,4.12
20170107,27814,25600,2214,8.65
20170108,25977,24133,1844,7.64
20170109,29377,27670,1707,6.17
20170110,29039,27787,1252,4.51
20170111,29590,27992,1598,5.71
20170112,29488,28186,1302,4.62
20170113,29140,27161,1979,7.29
20170114,26637,24726,1911,7.73
20170115,25518,24156,1362,5.64
20170116,28878,27370,1508,5.51
20170117,29076,27768,1308,4.71
20170118,29608,27768,1840,6.63
20170119,30109,27768,2341,8.43
20170120,29081,26889,2192,8.15
20170121,26836,24905,1931,7.75
20170122,25721,24230,1491,6.15
20170123,28830,26943,1887,7
20170124,28354,26779,1575,5.88
20170125,28220,25905,2315,8.94
20170126,25419,23012,2407,10.46
20170127,22511,20214,2297,11.36
20170128,22565,19672,2893,14.71
20170129,22378,19906,2472,12.42
20170130,22735,20118,2617,13.01
20170131,23924,21188,2736,12.91
20170201,25162,22191,2971,13.39
20170202,27057,24722,2335,9.45
20170203,27221,25592,1629,6.37
20170204,26421,24355,2066,8.49
20170205,26319,23414,2905,12.41
20170206,29010,26414,2596,9.83
20170207,28631,26899,1732,6.44
20170208,28810,27120,1690,6.23
20170209,28857,27088,1769,6.53
20170210,29366,27086,2280,8.42
20170211,27091,24557,2534,10.32
20170212,26825,23991,2834,11.81
20170213,28707,26862,1845,6.87
20170214,29167,27193,1974,7.26
20170215,29037,27232,1805,6.63
20170216,29690,27174,2516,9.26
20170217,29818,27241,2577,9.46
20170218,28383,26165,2218,8.48
20170219,25728,23850,1878,7.88
20170220,29813,27718,2095,7.56
20170221,29723,27762,1961,7.06
20170222,30014,28295,1719,6.07
20170223,29932,27527,2405,8.74
20170224,29464,27141,2323,8.56
20170225,26781,24638,2143,8.7
20170226,25640,23343,2297,9.84
20170227,25826,24078,1748,7.26
20170228,26593,25022,1571,6.28
20170301,29168,27261,1907,7
20170302,29327,27074,2253,8.32
20170303,28926,26914,2012,7.47
20170304,26511,24746,1765,7.13
20170305,26027,23990,2037,8.49
20170306,29410,27068,2342,8.65
20170307,29630,27568,2062,7.48
20170308,29971,27767,2204,7.94
20170309,29663,27844,1819,6.53
20170310,29640,27892,1748,6.27
20170311,26940,25149,1791,7.12
20170312,26224,24368,1856,7.62
20170313,29929,27892,2037,7.3
20170314,29854,27769,2085,7.51
20170315,29645,27774,1871,6.73
20170316,29971,28098,1873,6.67
20170317,29612,27896,1716,6.15
20170318,27428,25239,2189,8.68
